model,feature,source_feature,importance_type,importance
Gradient Boosting,cat__genre_classical,genre,tree_importance,0.24224864268840465
Gradient Boosting,cat__genre_indie,genre,tree_importance,0.1688286286977433
Gradient Boosting,num__track_age,track_age,tree_importance,0.08138638497531243
Gradient Boosting,cat__genre_r&b,genre,tree_importance,0.07116666276683352
Gradient Boosting,num__release_year,release_year,tree_importance,0.07035456939341372
Gradient Boosting,num__has_audio_features,has_audio_features,tree_importance,0.05488589311822679
Gradient Boosting,num__duration_sec,duration_sec,tree_importance,0.05331937648176592
Gradient Boosting,num__audio_feature_missing_count,audio_feature_missing_count,tree_importance,0.051473118037423285
Gradient Boosting,cat__genre_punk,genre,tree_importance,0.04244057306303843
Gradient Boosting,cat__genre_metal,genre,tree_importance,0.03620894013151703
Gradient Boosting,cat__genre_soul,genre,tree_importance,0.02292537358433599
Gradient Boosting,cat__release_type_Album,release,tree_importance,0.016332050288085858
Gradient Boosting,cat__genre_rock,genre,tree_importance,0.015737553532033086
Gradient Boosting,cat__genre_folk,genre,tree_importance,0.010640343834057738
Gradient Boosting,cat__genre_electronic,genre,tree_importance,0.009762679934022182
Gradient Boosting,cat__genre_ambient,genre,tree_importance,0.008089644212817344
Gradient Boosting,cat__genre_blues,genre,tree_importance,0.007189988900518074
Gradient Boosting,cat__genre_country,genre,tree_importance,0.007143524746333225
Gradient Boosting,cat__genre_gospel,genre,tree_importance,0.006451331513354207
Gradient Boosting,cat__genre_hip-hop,genre,tree_importance,0.006428280248817642
Gradient Boosting,cat__release_type_EP,release,tree_importance,0.003053708623590184
Gradient Boosting,cat__release_type_Unknown,release,tree_importance,0.002613749052592812
Gradient Boosting,cat__release_type_Other,release,tree_importance,0.0020141766227013544
Gradient Boosting,cat__genre_jazz,genre,tree_importance,0.0018961331213963144
Gradient Boosting,cat__genre_reggae,genre,tree_importance,0.0017467097967190307
Gradient Boosting,cat__genre_pop,genre,tree_importance,0.0013975763784958442
Gradient Boosting,cat__genre_dance,genre,tree_importance,0.001264612819187255
Gradient Boosting,cat__genre_latin,genre,tree_importance,0.0008903046916533771
Gradient Boosting,cat__genre_funk,genre,tree_importance,0.0006657374169152354
Gradient Boosting,cat__release_type_Single,release,tree_importance,0.0006568754430826536
Gradient Boosting,num__release_decade,release_decade,tree_importance,0.00041109932868427744
Gradient Boosting,cat__release_type_Broadcast,release,tree_importance,0.00037575655692724996
Gradient Boosting,num__career_x_duration_min,career_x_duration_min,tree_importance,0.0
Gradient Boosting,num__genre_match_count,genre_match_count,tree_importance,0.0
Gradient Boosting,cat__artist_country_Unknown,artist,tree_importance,0.0
Gradient Boosting,cat__artist_type_Unknown,artist,tree_importance,0.0
Gradient Boosting (tuned),cat__genre_classical,genre,tree_importance,0.19701891942585584
Gradient Boosting (tuned),cat__genre_indie,genre,tree_importance,0.13296070540646038
Gradient Boosting (tuned),num__duration_sec,duration_sec,tree_importance,0.1308494944859904
Gradient Boosting (tuned),num__track_age,track_age,tree_importance,0.09461174197820774
Gradient Boosting (tuned),num__release_year,release_year,tree_importance,0.08935008784309897
Gradient Boosting (tuned),cat__genre_r&b,genre,tree_importance,0.062152318562621274
Gradient Boosting (tuned),num__audio_feature_missing_count,audio_feature_missing_count,tree_importance,0.048538411228333994
Gradient Boosting (tuned),cat__genre_punk,genre,tree_importance,0.04399489521739685
Gradient Boosting (tuned),num__has_audio_features,has_audio_features,tree_importance,0.038664226720184845
Gradient Boosting (tuned),cat__genre_metal,genre,tree_importance,0.022611113227825108
Gradient Boosting (tuned),cat__genre_soul,genre,tree_importance,0.01728177074409644
Gradient Boosting (tuned),cat__release_type_Album,release,tree_importance,0.014673901835013506
Gradient Boosting (tuned),cat__genre_rock,genre,tree_importance,0.012446148902756304
Gradient Boosting (tuned),cat__genre_electronic,genre,tree_importance,0.011941008860602453
Gradient Boosting (tuned),cat__genre_country,genre,tree_importance,0.010587045636942616
