mbid,total_listen_count,total_user_count
f4d81e04-06a2-4008-8850-0bff3a2f5138,19,4
1ab12b1b-3f73-4f2a-acd2-5a6c4f2189e1,28609,6301
5e9eaed4-d34e-4a81-a524-d38af9474e18,516,107
dad31ed1-22b4-4812-a941-9dc100d86329,2512,473
f6085a67-7046-4ac4-96bd-3e3fc0389bbc,11,11
6e2bd512-14d7-4a71-ad50-ddce754ef813,4405,1444
b1e7bebd-0d36-4e4e-b419-e87bd5520933,786,243
d22e799a-b835-4b0c-9f3b-4e75079b4e9f,37928,5380
d9630f72-27df-4369-973d-537cf2eb2954,13766,1514
8ce61d64-51a9-4775-aa9f-7aca8a704256,1,1
4ccf5cb7-169b-496d-96c6-b4f214991b08,299232,19170
3c7ef0a1-c01c-45c0-b613-e630e91faeb1,216998,11924
400ca032-2782-4308-96e1-53f49220ddc8,27,8
c8dbb363-1376-4489-9555-62e5b56aaaa6,561,64
8cf1d0bd-7bd9-4bb5-8a1a-b0585d4d21ff,20,12
0ac62dae-8e71-4ba5-ac8b-80d758c50316,56488,9465
0ac1a42e-298d-41d6-b08f-817f27c730a3,10214,932
86c2568a-bb6f-4f9a-b491-d2ab09757849,21033,1081
d03a0d3b-a3c5-44f4-9af7-34c76ccaedb2,177522,17933
2015ccc4-066e-44cd-b638-b736694a07e3,15158,1254
1d1553c5-2b6f-472d-a7ec-5c42345ae7b9,15926,1302
f89dd6ed-6532-4815-a3ab-9bafb802385b,3331,611
85181214-918a-48cd-b96e-5f7ed769c129,4085,478
f7fd0727-5d8a-425f-aad1-bcb904898f41,1,1
df75dec6-df0b-4c83-8d28-acc579e2af92,26,8
b33650d9-7d95-4e12-9b47-d8b256ad1ac6,18,10
efe3d337-3729-4cb1-836d-936c2bdc2fcd,7482,767
63e824b6-44ee-4925-b27e-4d2fce8ca7a2,1779,593
507647a7-8ba0-40d9-b40f-50782d56f3fc,4246,799
a47f30f9-53f4-4222-8b38-934f818b41d1,9915,933
57bf8edb-6a62-45ee-8f47-5dd91eb0d4fc,4,4
0463663c-7d44-425e-a1b6-1b0d707a02a1,240,14
29e06a7e-116e-4304-be94-e67a1b5fba41,15,9
50988d1a-e0a5-4db7-ac0f-d574c063a1f3,3704,874
f58306cd-8a38-4dc7-8fb3-74b744e191d7,1159,260
8330e69d-584e-449f-96cb-0b5c72f26f27,9749,1273
6b7a33be-7784-408d-adba-530eb3ffa725,11,6
a98c6c17-5415-40f5-b9bc-ee537c2460ff,31480,3272
1079e4ae-1de8-4a38-869f-f0ed128572d9,114,36
89e97d38-6527-4b84-b140-fbea987132bc,18,8
c10a9af1-e793-4c6e-bb77-dd2e4634706b,15750,2324
a03a0178-ef12-4f75-8182-f3efc29627ba,12171,1748
3762282c-01fd-42b5-9903-c4dc7c26c6df,13529,2352
7e8d7470-95b7-49de-9a7c-5ee0ec6bbb91,1012,310
769fb529-e5e2-454d-bea8-aa49e2f6995e,1325,216
d0918829-9cbd-48e2-81a0-1a1e28dbea89,11067,1705
997c74ea-2d87-4593-aa8e-b8509691a519,346,53
4e198763-6feb-43ae-90df-8d560ac24a0b,921,115
3457d624-bfb4-4e6b-9110-387db7f5b638,4543,630
57708b14-bd86-44d5-a020-52c632748090,2024,418
b4d2e9fb-6ad7-4cc5-a00c-e6c4e2aa15b7,33,4
fb0ca439-1324-4e6d-96d0-ab1c92f70ccf,79,40
152b2c7c-d60f-4b99-8f4f-b8c283c84320,19,6
4eae17e1-1e24-49e7-88b8-9dd7adea30e5,5594,1110
ab106d94-93c8-4f59-995d-3743c154646a,6307,1013
12502a27-55eb-4af8-8253-0fe887508ee8,3254,551
7df9b983-2991-457e-b22e-2164833552f5,8726,1102
a8e5a724-6a84-4808-adcf-07823020f0b2,706,134
6bb825da-8800-455b-a3a3-29d7af7950b4,2343,215
b4478759-61c6-4968-a53d-12db521ae351,576,243
e66b99bd-83e4-4603-921b-9defb4d4379d,22217,5135
63c3b45c-3291-49c5-a54b-57cf4e6ea38d,7199,771
f5c9aa2a-52ae-4418-a25b-196f9e53e1bc,27708,2926
73b7db2a-7103-425b-995b-95ca89c97fdd,19561,3117
9a037c8b-5b6c-4c2d-a23a-4a35eeae4655,5833,1172
3b5dc05f-95a9-49e8-91b1-a680170752d8,150,36
821a7199-0c00-477c-b732-97678c55f4f1,6,4
c23d0921-20eb-4716-9f00-3bcd5bf16a3c,36475,3450
656c2ded-9a9b-4555-9c9a-8b6c71410b59,3718,814
483b9b70-49f1-4830-9f85-03232e1d6d5d,555,118
f79056b8-94e5-428b-be33-39fc7e0551cd,563,130
538fa9ff-c8bf-4fbb-946e-cd768afdf9d0,528,113
67ecf24b-83c8-470a-8826-6bd36ef809ba,636,99
9043993a-a787-42e2-96e8-a77fdc731844,511,131
e7c93f9a-cff2-4f79-ac3d-3c231f7b7519,279,82
5199efb3-59f7-4cc5-a6f1-1a6e8104cfc1,2054,196
c655a42b-a29f-4c13-8205-b86a95cb7109,1171,182
6830a0a7-bdc5-4df4-9e69-490a6058d2ca,3241,288
4d01fb39-fda5-4938-99ea-ab2c6351d2ce,5421,1677
03d069d6-6257-4f27-b69f-c15d0857fe8a,39860,3950
55634f7f-d1da-4528-b1ed-f0b2b92c4db1,318,74
ba117b58-87cb-47a1-b185-3f01af8f306e,10693,1027
dfddcec3-9be0-45b3-b5ec-a77cad876b71,261,44
fa40767c-3e99-4707-8e78-30d7859971d4,47,25
87fa8ca0-f1de-48a6-b61b-a02022562877,99,37
adf64ec6-945c-41c4-adef-8bc3eeccad5c,38477,2297
98166090-f29e-4b80-8401-3305ac5a65c9,16515,1240
b362a2a8-d52f-4a71-960a-68bbe21cc269,17,11
15ef7988-6925-439b-9b69-77817e1d53b5,4167,759
bbe5de59-7259-4726-81f1-f89c9c0ac20f,1133,296
885bf703-347d-4a94-872e-6049a723c62b,36,20
09776b98-5570-4d6e-9740-7e90fbcb57b8,31,20
bfc5d87c-8e38-439e-832c-64170fd8101b,46,22
2d865a50-acbd-46ed-9323-27009de9dc0a,138,35
e687bf45-bb89-4de6-8cd0-fa4dab58bdd1,22128,3957
4fc519cc-cc25-4963-92da-d8217fe5d5f5,1938,429
2cb712d0-aa34-40f8-985d-626e7d376f06,19722,3539
50c077cb-3790-4f68-b60d-3a2a0a6d7837,17,2
917c6162-3b0a-4bb0-943c-a90824465610,1670,230
41b4f48c-9210-42ef-b5c4-98aa9fb6c43d,1010,165
34e8afea-4d81-4015-97cc-977b15e9b5ef,44,5
8402a75d-73ca-48c9-a7fe-588a0ae03a2a,847,125
801c2e3f-58c0-4e9b-9cb1-1064ee49e51f,659,151
87ed02cb-7d06-48b7-a6e1-f9cbfaf7398a,1289,302
7349ae1b-5125-4c12-b8d2-af4e1b505c11,41239,5728
6db217dd-5c6a-4127-b8e5-d19ce4f27d5f,366,165
c397a1da-6e5f-417e-8acc-2d59812b9f52,507,212
5911cf10-49e7-40d4-8c3c-652f7c07fd96,4548,899
36457105-0ff2-4870-ab95-36ff58a2ccec,8944,1588
1d769245-167f-47ed-aa35-5ae37c88c4a1,5305,914
6f334251-089a-409c-a2b9-a1268556712a,179,54
ff406f7f-e94a-44fa-ab48-6d8bd7d46da1,779,101
8692f8ff-b014-4b13-a757-3848df172601,52190,2609
b5278a44-a82f-4590-9439-67fca37378e7,31,9
9b2fdda9-46aa-460c-92b0-debedfa10aee,170,27
396d4919-a943-4fb1-a0c4-5f174bd91083,7896,794
38ad0a18-ac44-4ba1-ba25-d87975754b15,37,11
e3eb70ea-0b7b-487e-a443-86ce69f0c725,28,4
20657018-a6e1-4c61-af2d-f390aabb2462,34,7
05eb5175-bfb0-4302-8f5e-18b193e5f876,1581,425
d6bb61d6-6c5e-42b6-af90-7d975a64da10,115982,14361
604b8572-632e-44ac-b47f-6c336ac58041,400,100
a37143dc-9bd5-4454-a0f4-b1485cd598bd,5,2
9f6ead06-ed87-48db-a555-2bc3acc2354b,2894,713
d465e020-e422-4350-9d08-510aedb22ef3,416,91
6e6b69c2-7373-4e20-8dc7-8c0837f7709a,894,26
b6e516b4-1969-449c-8b3d-200e4ce8fa3b,83,52
4c830700-2734-46d9-bb09-90dca152835c,2813,592
751e673d-7296-49fe-ba9f-5c14fe301cdc,48,26
c083aa3c-dfff-4bc6-8b20-1cffc86fab17,29,17
db92bced-d20b-428b-9f65-cfa78d6791e5,75,45
4193c963-859d-43f3-bca4-ce27d2745595,7326,672
723e9f71-5cf5-4046-aa6d-c3eb01e8816c,606,166
20780062-ad5b-42b5-ad79-59f04b4eab97,10474,1097
fc5ea5ca-b825-49ec-8595-df92f8434a77,45195,4131
fa0da16f-5b58-4aaa-a977-a62812d33f54,1046,291
837def23-2257-4b6d-a582-17b53ed2a3b3,1039,268
2bc09865-7bc5-4b2e-aae2-2c252e25231e,13779,4772
dfce3fa7-0439-4ecc-9e15-076e49ba95d3,311,122
f35a5f8f-10aa-40f7-803a-61adf196281a,30891,2578
d2d4f925-4a6d-4877-a721-e2a080a2dfaa,458,122
0de44d1f-38e9-41eb-849c-cd58c5b122f4,444,166
62068c6a-2054-4995-813c-1016e7c8f947,27326,2634
e8eb86ac-0ed6-4230-90ac-7942892e1690,78,22
0a81ae97-7fdb-45ed-891b-ba3c22375a59,198,72
134eeb50-41c8-49cc-83c4-fbc56332056a,185,54
d27d9be5-cf3e-40a7-97cc-1dc7ebeed343,28,17
fd5c2a51-10e4-4eb2-b9a8-0ba0b4496961,359,104
6c199266-5a4b-4a3d-a985-12ef3f964aec,305,87
06624e65-e25c-48a9-aa11-171aa28b14aa,30233,3244
6a1bec23-a4df-4d66-ac27-5dddc23f166a,11,5
04c3be28-77e2-433d-844f-c497adec85e0,1479,371
b76c1f94-2506-419e-8f39-af084bd134ae,35,23
62ed2c41-5110-4eec-a3c2-b7e204b7edb6,46,25
49948ddf-1c73-4e9c-90ee-6affeaad05dc,53,30
df24a2ce-97e7-4d2b-97e4-c447a1af41ee,64,38
e61370c8-2bfb-41fd-a2ee-12ddecf101e7,1045,282
dead4891-fd8a-494e-b778-ba28edd5f1eb,367,66
7c75723d-e044-4961-a4ea-75fe66b21732,168,86
d1f54697-5541-47ac-8805-2baf657f2179,4709,873
e3b2ba8b-7da8-4ba5-87bf-677b8de97f08,157,80
4c9f5f4a-08e4-43b5-9bc0-12031945e6df,567,133
bb35826f-bab1-4453-a0e8-80dbca10d025,17833,1466
8e7dfda5-d623-4055-909d-a2dca9eca3bf,258,67
a5fae54f-bdee-46b6-a2d4-f6bd8342ffb8,438,101
f38f3d68-7fdf-4a6a-b4b5-b463e0936a3a,385,126
a8975e28-575d-43c6-88b9-a2be3176b011,195,53
09449d00-b1f0-4423-afd6-480d6d761a6c,36,10
e4cff0ea-a86e-4625-96d3-bc8485166db0,129,36
6d0d4a0c-db1b-4eba-9be3-2423028dee20,296,81
d33c8c4a-f1a6-4ba7-948c-404f82777344,151,41
0be72165-50aa-4f68-be40-df8ef7a9d0d4,2852,350
f9e475f5-0f6c-480f-9440-1189954c962b,510,194
b6b2b696-c117-4fbe-8d1e-d08abcb7952a,66859,11715
5a2a4b4e-13c4-4122-a626-064531047ac4,30128,2317
ce24b90f-598f-4483-97fd-2967217549b2,59510,3445
43341f5d-14f8-49aa-8d99-d81de44fb9c3,62520,7001
766631fc-3f1e-410a-b30b-7ac7427a60f9,215,76
bc6189d0-c382-4d90-815b-8560bb560568,4647,831
586f26f8-1d72-4a59-a3e7-f53956c8bdf5,1166,446
62591878-af86-4b11-835b-0307c62f5e3b,44621,2289
f6b2c07a-b6e0-4244-92ba-82535500a816,7967,1920
903d5cc5-80b6-4978-8bec-ac0af5aa95a2,1,1
a53fe01d-5c2d-4c71-9684-9ef814df9c9b,4716,730
4fde8e1d-460d-4153-9678-16cac3729897,120,27
6eb3b05c-80d4-4c14-af61-89f63de23cf4,1279,288
821b94ac-b7d9-4b1c-b16e-b41f7de32705,11326,1347
811bb711-1a04-441f-96f6-d010edd0edc5,1553,254
20316fda-5864-455e-ad93-89ab26a9d22d,62,27
fb760170-8db8-4962-9461-8cf231e33625,34,20
852f7e9e-fbab-46f8-a188-252c42fdebaa,248,86
90add391-d8d9-46da-a5ec-4e92a52209ae,268,99
4a3c8e69-f0a1-42ca-9058-8f23eb9d7042,50,26
c3b395a5-b654-422f-8953-fbfdad6d9ce9,34,23
16af2ad0-4c42-482f-b369-51cdc546e59d,165,74
b3a433c9-9cd3-400a-874a-a5a8641c18ea,216,97
65b7256f-b063-49e9-acec-3d4340ce7292,24047,2388
a743701a-c932-4ea1-8f46-22dd302473c1,129,36
b653ae7f-8b92-4ea2-a133-63fcd355ca50,1112,141
f3d568df-eae7-4d8a-a430-dd4609f4f3df,403,108
0b958a4b-6ed1-447b-be3f-fb91270c469f,173,45
5a6e1d23-f7ee-4d79-a1a7-bf672c185f5f,757,140
65f9fb5c-7f44-4aae-b79d-170909baa40f,376,100
47184c8b-f2a1-4781-adc4-0e425e63ee24,1707,484
15def4c4-2d7c-4582-9e79-1488cf63875f,6085,730
5bab210d-6498-4b77-93aa-ac07cdd5be6f,8462,1372
f4c0b8c6-3034-4098-b3bf-55c562f0f63e,1939,401
80b8463a-2dc4-4410-bd3b-638b67e2734b,2078,414
6be3fc4b-c1fd-479a-8895-0a1c768649fc,5616,1357
383f8e1e-1017-426c-abd8-6cbf5d3ba4fb,12,4
1a9974ef-512a-42e9-ba2d-ef1f2a1f0f52,3776,354
379a0332-bc93-4a79-b97e-20c44584b13c,2472,208
8078e967-8656-463e-ac74-fcdec48d5290,17214,1047
e619cd9d-ee35-4e37-8ee1-51b992ab95d7,49914,4546
ee861781-b832-45cb-9654-9b8f98f1f7f1,7203,2182
57b2e634-aadc-47a7-b4e8-d8976020da98,1819,402
15400860-b99d-4312-8579-bafc6874dcac,1445,244
6f5d31e0-ae48-4682-a45b-7f1f0f28e91f,4787,708
407dc1f7-b189-4d0b-aa2e-48f4517f5702,5205,746
96f3ab03-c6c4-4dbc-9f05-2cb7c2e17596,4183,905
2a00d642-a7ed-4e8c-98c0-d58e9500d8aa,85,33
4f9b2c21-4baf-4200-8988-2f259c572a1f,10599,2361
04f1de29-2fe1-4d37-a3c7-451bba948944,169967,21455
42abdd93-709c-4ff6-98b3-90e2cf2bd058,1090163,58495
0a1efbb9-24ef-4dd0-b578-21aea527893f,358,121
4ef66885-41c3-4e50-944a-677e742b6611,16290,4063
07777219-f042-465e-b211-bb881125e797,90,36
dcbea9b4-3ea9-4020-9ee9-650b45f5993f,3924,1240
