genre,n_tracks,avg_repeats,median_repeats,avg_log_repeats
indie,3111,32774.3,6589.0,8.499
metal,2465,11027.2,2108.0,7.333
punk,2592,10275.4,1592.5,6.813
rock,3031,10921.5,1237.0,6.792
hip-hop,3890,6029.6,946.5,6.495
jazz,3033,3141.8,710.0,6.193
folk,2966,6340.8,596.5,6.219
blues,2389,2554.5,445.0,5.843
pop,3009,5483.3,356.0,5.676
country,2632,2894.5,272.5,5.451
reggae,2730,2294.2,258.0,5.177
latin,2497,1887.8,247.0,5.349
gospel,2242,1253.8,221.0,4.828
electronic,3517,2526.1,209.0,5.216
dance,2285,2964.8,206.0,5.128
funk,2644,1721.7,189.0,5.049
ambient,3356,2638.5,124.5,4.815
soul,2354,1278.9,67.0,4.135
r&b,1793,646.1,21.0,3.261
classical,3043,242.6,5.0,2.31
